[2026-07-16T18:02:46] Scheduler started
[2026-07-16T18:13:31] Started split_multichannel | split_multichannel_047_half_yearly_high_mag_noise0_lt2 | run_5 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 3645326 | GPU 7
[2026-07-16T18:13:34] Started split_multichannel | split_multichannel_047_half_yearly_high_mag_noise0_lt2 | run_9 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 3645375 | GPU 5
[2026-07-16T18:13:37] Started split_multichannel | split_multichannel_048_half_yearly_high_mag_noise0_lt3 | run_3 | freq=26 | noise=1 | magnitude=200 | lead_time=3 | PID 3645387 | GPU 6
[2026-07-16T18:13:41] Started split_multichannel | split_multichannel_048_half_yearly_high_mag_noise0_lt3 | run_7 | freq=26 | noise=1 | magnitude=200 | lead_time=3 | PID 3645395 | GPU 2
[2026-07-16T18:13:44] Started split_multichannel | split_multichannel_049_half_yearly_high_mag_noise10_lt1 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=1 | PID 3645416 | GPU 2
[2026-07-16T18:13:47] Started split_multichannel | split_multichannel_049_half_yearly_high_mag_noise10_lt1 | run_5 | freq=26 | noise=1 | magnitude=200 | lead_time=1 | PID 3645495 | GPU 6
[2026-07-16T18:13:50] Started split_multichannel | split_multichannel_050_half_yearly_high_mag_noise10_lt2 | run_0 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 3645563 | GPU 7
[2026-07-16T18:13:54] Started split_multichannel | split_multichannel_050_half_yearly_high_mag_noise10_lt2 | run_5 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 3645814 | GPU 4
[2026-07-16T18:13:57] Started split_multichannel | split_multichannel_050_half_yearly_high_mag_noise10_lt2 | run_9 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 3645889 | GPU 5
[2026-07-16T18:14:00] Started split_multichannel | split_multichannel_051_half_yearly_high_mag_noise10_lt3 | run_3 | freq=26 | noise=1 | magnitude=200 | lead_time=3 | PID 3645961 | GPU 1
[2026-07-16T18:14:04] Started split_multichannel | split_multichannel_051_half_yearly_high_mag_noise10_lt3 | run_7 | freq=26 | noise=1 | magnitude=200 | lead_time=3 | PID 3645976 | GPU 4
[2026-07-16T18:14:07] Started split_multichannel | split_multichannel_052_half_yearly_high_mag_noise100_lt1 | run_1 | freq=26 | noise=1 | magnitude=200 | lead_time=1 | PID 3645984 | GPU 5
[2026-07-16T18:14:10] Started split_multichannel | split_multichannel_052_half_yearly_high_mag_noise100_lt1 | run_5 | freq=26 | noise=1 | magnitude=200 | lead_time=1 | PID 3645995 | GPU 7
[2026-07-16T18:14:14] Started split_multichannel | split_multichannel_053_half_yearly_high_mag_noise100_lt2 | run_0 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 3646003 | GPU 2
[2026-07-16T18:14:17] Started split_multichannel | split_multichannel_053_half_yearly_high_mag_noise100_lt2 | run_5 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 3646011 | GPU 6
[2026-07-16T18:14:55] Started local_timemixer | local_timemixer_076_quarterly_high_mag_noise10_lt1 | run_7 | freq=13 | noise=1 | magnitude=200 | lead_time=1 | PID 3647023 | GPU 3
[2026-07-16T18:16:36] Finished split_multichannel | split_multichannel_052_half_yearly_high_mag_noise100_lt1 | run_5 | freq=26 | noise=1 | magnitude=200 | lead_time=1
[2026-07-16T18:16:37] Started split_multichannel | split_multichannel_053_half_yearly_high_mag_noise100_lt2 | run_9 | freq=26 | noise=1 | magnitude=200 | lead_time=2 | PID 3649958 | GPU 7
[2026-07-16T18:16:40] Started split_multichannel | split_multichannel_054_half_yearly_high_mag_noise100_lt3 | run_3 | freq=26 | noise=1 | magnitude=200 | lead_time=3 | PID 3649965 | GPU 2
[2026-07-16T18:16:43] Started split_multichannel | split_multichannel_054_half_yearly_high_mag_noise100_lt3 | run_7 | freq=26 | noise=1 | magnitude=200 | lead_time=3 | PID 3649995 | GPU 4
[2026-07-16T18:16:47] Started split_multichannel | split_multichannel_055_quarterly_low_mag_noise0_lt1 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=1 | PID 3650047 | GPU 5
[2026-07-16T18:16:50] Started split_multichannel | split_multichannel_055_quarterly_low_mag_noise0_lt1 | run_5 | freq=13 | noise=1 | magnitude=50 | lead_time=1 | PID 3650056 | GPU 7
[2026-07-16T18:16:53] Started split_multichannel | split_multichannel_055_quarterly_low_mag_noise0_lt1 | run_9 | freq=13 | noise=1 | magnitude=50 | lead_time=1 | PID 3650064 | GPU 1
[2026-07-16T18:16:57] Started split_multichannel | split_multichannel_057_quarterly_low_mag_noise0_lt3 | run_5 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 3650256 | GPU 5
[2026-07-16T18:17:06] Started split_multichannel | split_multichannel_081_quarterly_high_mag_noise100_lt3 | run_1 | freq=13 | noise=1 | magnitude=200 | lead_time=3 | PID 3650374 | GPU 6
[2026-07-16T18:17:10] Started split_multichannel | split_multichannel_081_quarterly_high_mag_noise100_lt3 | run_5 | freq=13 | noise=1 | magnitude=200 | lead_time=3 | PID 3650396 | GPU 2
[2026-07-16T18:17:13] Started split_multichannel | split_multichannel_081_quarterly_high_mag_noise100_lt3 | run_9 | freq=13 | noise=1 | magnitude=200 | lead_time=3 | PID 3650407 | GPU 4
[2026-07-16T18:17:44] Started local_timemixer | local_timemixer_078_quarterly_high_mag_noise10_lt3 | run_3 | freq=13 | noise=1 | magnitude=200 | lead_time=3 | PID 3651246 | GPU 3
[2026-07-16T18:18:43] Started local_patchtst | local_patchtst_068_quarterly_medium_mag_noise10_lt2 | run_3 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 3652765 | GPU 0
[2026-07-16T18:18:46] Started local_patchtst | local_patchtst_068_quarterly_medium_mag_noise10_lt2 | run_7 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 3652783 | GPU 0
[2026-07-16T18:19:30] Finished split_multichannel | split_multichannel_055_quarterly_low_mag_noise0_lt1 | run_9 | freq=13 | noise=1 | magnitude=50 | lead_time=1
[2026-07-16T18:19:31] Started split_multichannel | split_multichannel_056_quarterly_low_mag_noise0_lt2 | run_3 | freq=13 | noise=1 | magnitude=50 | lead_time=2 | PID 3654122 | GPU 1
[2026-07-16T18:19:34] Started split_multichannel | split_multichannel_056_quarterly_low_mag_noise0_lt2 | run_7 | freq=13 | noise=1 | magnitude=50 | lead_time=2 | PID 3654132 | GPU 1
[2026-07-16T18:19:38] Started split_multichannel | split_multichannel_057_quarterly_low_mag_noise0_lt3 | run_1 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 3654145 | GPU 5
[2026-07-16T18:19:41] Started split_multichannel | split_multichannel_057_quarterly_low_mag_noise0_lt3 | run_9 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 3654265 | GPU 7
[2026-07-16T18:19:44] Started split_multichannel | split_multichannel_058_quarterly_low_mag_noise10_lt1 | run_3 | freq=13 | noise=1 | magnitude=50 | lead_time=1 | PID 3654273 | GPU 6
[2026-07-16T18:19:47] Started split_multichannel | split_multichannel_058_quarterly_low_mag_noise10_lt1 | run_7 | freq=13 | noise=1 | magnitude=50 | lead_time=1 | PID 3654290 | GPU 7
[2026-07-16T18:19:51] Started split_multichannel | split_multichannel_059_quarterly_low_mag_noise10_lt2 | run_2 | freq=13 | noise=1 | magnitude=50 | lead_time=2 | PID 3654298 | GPU 4
[2026-07-16T18:19:54] Started split_multichannel | split_multichannel_059_quarterly_low_mag_noise10_lt2 | run_6 | freq=13 | noise=1 | magnitude=50 | lead_time=2 | PID 3654306 | GPU 2
[2026-07-16T18:19:57] Started split_multichannel | split_multichannel_060_quarterly_low_mag_noise10_lt3 | run_0 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 3654493 | GPU 5
[2026-07-16T18:20:01] Started split_multichannel | split_multichannel_060_quarterly_low_mag_noise10_lt3 | run_4 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 3654520 | GPU 1
[2026-07-16T18:20:04] Started split_multichannel | split_multichannel_060_quarterly_low_mag_noise10_lt3 | run_8 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 3654586 | GPU 6
[2026-07-16T18:20:07] Started split_multichannel | split_multichannel_061_quarterly_low_mag_noise100_lt1 | run_2 | freq=13 | noise=1 | magnitude=50 | lead_time=1 | PID 3654594 | GPU 5
[2026-07-16T18:20:11] Started split_multichannel | split_multichannel_062_quarterly_low_mag_noise100_lt2 | run_0 | freq=13 | noise=1 | magnitude=50 | lead_time=2 | PID 3654604 | GPU 0
[2026-07-16T18:20:14] Started split_multichannel | split_multichannel_062_quarterly_low_mag_noise100_lt2 | run_5 | freq=13 | noise=1 | magnitude=50 | lead_time=2 | PID 3654683 | GPU 0
[2026-07-16T18:20:17] Started split_multichannel | split_multichannel_062_quarterly_low_mag_noise100_lt2 | run_9 | freq=13 | noise=1 | magnitude=50 | lead_time=2 | PID 3654753 | GPU 6
[2026-07-16T18:20:21] Started split_multichannel | split_multichannel_063_quarterly_low_mag_noise100_lt3 | run_3 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 3654829 | GPU 4
[2026-07-16T18:20:24] Started split_multichannel | split_multichannel_063_quarterly_low_mag_noise100_lt3 | run_7 | freq=13 | noise=1 | magnitude=50 | lead_time=3 | PID 3654901 | GPU 2
[2026-07-16T18:20:27] Started split_multichannel | split_multichannel_064_quarterly_medium_mag_noise0_lt1 | run_1 | freq=13 | noise=1 | magnitude=100 | lead_time=1 | PID 3654976 | GPU 7
[2026-07-16T18:20:59] Started local_timemixer | local_timemixer_069_quarterly_medium_mag_noise10_lt3 | run_5 | freq=13 | noise=1 | magnitude=100 | lead_time=3 | PID 3655827 | GPU 3
[2026-07-16T18:22:42] Finished split_multichannel | split_multichannel_063_quarterly_low_mag_noise100_lt3 | run_7 | freq=13 | noise=1 | magnitude=50 | lead_time=3
[2026-07-16T18:22:42] Started split_multichannel | split_multichannel_064_quarterly_medium_mag_noise0_lt1 | run_5 | freq=13 | noise=1 | magnitude=100 | lead_time=1 | PID 3658425 | GPU 6
[2026-07-16T18:22:46] Started split_multichannel | split_multichannel_065_quarterly_medium_mag_noise0_lt2 | run_0 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 3658472 | GPU 2
[2026-07-16T18:22:49] Started split_multichannel | split_multichannel_065_quarterly_medium_mag_noise0_lt2 | run_5 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 3658655 | GPU 2
[2026-07-16T18:22:52] Started split_multichannel | split_multichannel_065_quarterly_medium_mag_noise0_lt2 | run_9 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 3658731 | GPU 5
[2026-07-16T18:22:56] Started split_multichannel | split_multichannel_066_quarterly_medium_mag_noise0_lt3 | run_3 | freq=13 | noise=1 | magnitude=100 | lead_time=3 | PID 3658803 | GPU 7
[2026-07-16T18:22:59] Started split_multichannel | split_multichannel_066_quarterly_medium_mag_noise0_lt3 | run_8 | freq=13 | noise=1 | magnitude=100 | lead_time=3 | PID 3659050 | GPU 0
[2026-07-16T18:23:02] Started split_multichannel | split_multichannel_067_quarterly_medium_mag_noise10_lt1 | run_2 | freq=13 | noise=1 | magnitude=100 | lead_time=1 | PID 3659098 | GPU 4
[2026-07-16T18:23:06] Started split_multichannel | split_multichannel_067_quarterly_medium_mag_noise10_lt1 | run_6 | freq=13 | noise=1 | magnitude=100 | lead_time=1 | PID 3659106 | GPU 6
[2026-07-16T18:23:09] Started split_multichannel | split_multichannel_068_quarterly_medium_mag_noise10_lt2 | run_0 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 3659115 | GPU 7
[2026-07-16T18:23:12] Started split_multichannel | split_multichannel_068_quarterly_medium_mag_noise10_lt2 | run_4 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 3659150 | GPU 1
[2026-07-16T18:23:16] Started split_multichannel | split_multichannel_068_quarterly_medium_mag_noise10_lt2 | run_8 | freq=13 | noise=1 | magnitude=100 | lead_time=2 | PID 3659192 | GPU 5
[2026-07-16T18:23:19] Started split_multichannel | split_multichannel_069_quarterly_medium_mag_noise10_lt3 | run_2 | freq=13 | noise=1 | magnitude=100 | lead_time=3 | PID 3659200 | GPU 2
[2026-07-16T18:23:22] Started split_multichannel | split_multichannel_070_quarterly_medium_mag_noise100_lt1 | run_0 | freq=13 | noise=1 | magnitude=100 | lead_time=1 | PID 3659209 | GPU 4
[2026-07-16T18:23:26] Started split_multichannel | split_multichannel_070_quarterly_medium_mag_noise100_lt1 | run_4 | freq=13 | noise=1 | magnitude=100 | lead_time=1 | PID 3659221 | GPU 6
[2026-07-16T18:23:41] Started local_timemixer | local_timemixer_012_yearly_medium_mag_noise0_lt3 | run_5 | freq=52 | noise=1 | magnitude=100 | lead_time=3 | PID 3659473 | GPU 0
[2026-07-16T18:23:50] Started local_timemixer | local_timemixer_033_half_yearly_low_mag_noise10_lt3 | run_8 | freq=26 | noise=1 | magnitude=50 | lead_time=3 | PID 3659675 | GPU 3
[2026-07-16T18:25:40] Finished split_multichannel | split_multichannel_070_quarterly_medium_mag_noise100_lt1 | run_4 | freq=13 | noise=1 | magnitude=100 | lead_time=1
