[2026-07-15T18:22:20] Started None | no_training_ma_008_yearly_low_mag_noise100_lt2 | run_6 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1144663 | GPU None
[2026-07-15T18:22:23] Started None | no_training_ma_008_yearly_low_mag_noise100_lt2 | run_7 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1144682 | GPU None
[2026-07-15T18:22:26] Started None | no_training_ma_008_yearly_low_mag_noise100_lt2 | run_8 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1144795 | GPU None
[2026-07-15T18:22:29] Started None | no_training_ma_008_yearly_low_mag_noise100_lt2 | run_9 | freq=52 | noise=1 | magnitude=50 | lead_time=2 | PID 1144992 | GPU None
[2026-07-15T18:22:33] Started None | no_training_ma_009_yearly_low_mag_noise100_lt3 | run_0 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1145011 | GPU None
[2026-07-15T18:22:36] Started None | no_training_ma_009_yearly_low_mag_noise100_lt3 | run_1 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1145016 | GPU None
[2026-07-15T18:22:39] Started None | no_training_ma_009_yearly_low_mag_noise100_lt3 | run_2 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1145035 | GPU None
[2026-07-15T18:22:42] Started None | no_training_ma_009_yearly_low_mag_noise100_lt3 | run_3 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1145052 | GPU None
[2026-07-15T18:22:46] Started None | no_training_ma_009_yearly_low_mag_noise100_lt3 | run_4 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1145067 | GPU None
[2026-07-15T18:22:49] Started None | no_training_ma_009_yearly_low_mag_noise100_lt3 | run_5 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1145108 | GPU None
[2026-07-15T18:22:52] Started None | no_training_ma_009_yearly_low_mag_noise100_lt3 | run_6 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1145143 | GPU None
[2026-07-15T18:22:55] Started None | no_training_ma_009_yearly_low_mag_noise100_lt3 | run_7 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1145166 | GPU None
